PROJETO,TipoRegra
Projeto Apex-Brasil - Peiex,100% CONV.
ALI Rural,100% CSN
Atração e Desenvolvimento de Pessoas,100% CSN
SP Agente Local de Inovação (ALI) - Produtividade,100% CSN
Suporte a Negócios - Remuneração de Recursos Humanos Relacionado a Negócios,100% CSN
Feira do Empreendedor,100% EB
Crie - Audiovisual,CI Único
Crie - Credenciamento,CI Único
Crie - Games,CI Único
Crie - Mercado,CI Único
Crie - Moda Autoral,CI Único
Crie - Políticas Públicas,CI Único
Fomento à Inovação,CI Único
"Sustentabilidade, Eficiência Empresarial e Soluções Tecnológicas",80/20
Conexões Corporativas Sebrae-SP - Lojas Renner,CCTF
Conexões corporativas Sebrae-SP - Serasa,CCTF
Conexões Corporativas Sebrae-SP e Grupo Soma/Hering,CCTF
Conexões Corporativas Sebrae-SP Intercement,CCTF
Conexões Corporativas Sebrae-SP Raizen,CCTF
